K,Recall@K,Evidence Recall@K,MRR,Token F1,ROUGE-L F1,Must-Include Recall,Abstention Accuracy,Avg Retrieval Latency (s),Avg Generation Latency (s),Avg Total Latency (s)
1,0.36363636363636365,0.3731060606060606,0.6079545454545454,0.2537799110284999,0.2325126182627017,0.2926829268292683,1.0,0.17338570652163585,0.8347093847826371,1.008095091304273
2,0.7045454545454546,0.6950757575757576,0.6079545454545454,0.40247201570765556,0.37225035774961535,0.6178861788617886,1.0,0.05740482391292576,0.893164086956621,0.9505689108695468
3,0.9090909090909091,0.9034090909090909,0.6079545454545454,0.5046509379295642,0.47250378056009923,0.7788617886178861,0.8,0.058134367391176056,1.027617165217239,1.085751532608415
4,0.9318181818181818,0.9261363636363636,0.6079545454545454,0.5176841871881332,0.48034909381820995,0.7959349593495935,0.8,0.058474869565029425,1.0159980347826485,1.074472904347678
5,0.9318181818181818,0.9261363636363636,0.6079545454545454,0.5239101219107419,0.4927159141639281,0.824390243902439,0.8,0.05858833478269725,1.1048941543477548,1.163482489130452
